Name,P1,P2,P3,r/d,D/d,k
254,11.355,103.07,22.548338,0.2271,2.0614,2.2548338
255,11.39,103.26,22.390235,0.2278,2.0652,2.2390235
256,11.425,103.45,22.086511,0.2285,2.069,2.2086511
257,11.46,103.64,22.7120845,0.2292,2.0728,2.27120845
258,11.495,103.83,22.645,0.2299,2.0766,2.2645
259,11.53,104.02,22.887536,0.2306,2.0804,2.2887536
260,11.565,104.21,22.4366825,0.2313,2.0842,2.24366825
261,11.6,104.4,22.723174,0.232,2.088,2.2723174
262,11.635,104.59,22.4748635,0.2327,2.0918,2.24748635
263,11.67,104.78,22.510018,0.2334,2.0956,2.2510018
264,11.705,104.97,22.1409395,0.2341,2.0994,2.21409395
265,11.74,105.16,22.456201,0.2348,2.1032,2.2456201
266,11.775,105.35,22.5615285,0.2355,2.107,2.25615285
267,11.81,105.54,22.3371775,0.2362,2.1108,2.23371775
268,11.845,105.73,22.2354375,0.2369,2.1146,2.22354375
269,11.88,105.92,22.229569,0.2376,2.1184,2.2229569
270,11.915,106.11,22.4477435,0.2383,2.1222,2.24477435
271,11.95,106.3,22.304739,0.239,2.126,2.2304739
272,11.985,106.49,22.5208505,0.2397,2.1298,2.25208505
273,12.02,106.68,21.9675565,0.2404,2.1336,2.19675565
274,12.055,106.87,22.2960695,0.2411,2.1374,2.22960695
275,12.09,107.06,22.8480335,0.2418,2.1412,2.28480335
276,12.125,107.25,22.2311055,0.2425,2.145,2.22311055
277,12.16,107.44,22.1865805,0.2432,2.1488,2.21865805
278,12.195,107.63,22.1846805,0.2439,2.1526,2.21846805
279,12.23,107.82,22.223857,0.2446,2.1564,2.2223857
280,12.265,108.01,21.974521,0.2453,2.1602,2.1974521
281,12.3,108.2,22.5408045,0.246,2.164,2.25408045
282,12.335,108.39,22.4330505,0.2467,2.1678,2.24330505
283,12.37,108.58,20.7604245,0.2474,2.1716,2.07604245
284,12.405,108.77,21.8671145,0.2481,2.1754,2.18671145
285,12.44,108.96,22.3163935,0.2488,2.1792,2.23163935
286,12.475,109.15,21.8852555,0.2495,2.183,2.18852555
287,12.51,109.34,21.7056175,0.2502,2.1868,2.17056175
288,12.545,109.53,22.103685,0.2509,2.1906,2.2103685
289,12.58,109.72,22.1714185,0.2516,2.1944,2.21714185
290,12.615,109.91,21.8561495,0.2523,2.1982,2.18561495
291,12.65,110.1,22.1664555,0.253,2.202,2.21664555
292,12.685,110.29,21.482778,0.2537,2.2058,2.1482778
293,12.72,110.48,21.738655,0.2544,2.2096,2.1738655
294,12.755,110.67,21.892489,0.2551,2.2134,2.1892489
295,12.79,110.86,21.732761,0.2558,2.2172,2.1732761
296,12.825,111.05,21.596825,0.2565,2.221,2.1596825
297,12.86,111.24,22.042389,0.2572,2.2248,2.2042389
298,12.895,111.43,21.771529,0.2579,2.2286,2.1771529
299,12.93,111.62,21.9790775,0.2586,2.2324,2.19790775
300,12.965,111.81,21.682839,0.2593,2.2362,2.1682839
301,13,112,21.39663,0.26,2.24,2.139663
302,13.035,112.19,21.5658725,0.2607,2.2438,2.15658725
303,13.07,112.38,21.48367,0.2614,2.2476,2.148367
304,13.105,112.57,21.937437,0.2621,2.2514,2.1937437
305,13.14,112.76,21.630251,0.2628,2.2552,2.1630251
306,13.175,112.95,21.891152,0.2635,2.259,2.1891152
307,13.21,113.14,21.841527,0.2642,2.2628,2.1841527
308,13.245,113.33,21.899605,0.2649,2.2666,2.1899605
309,13.28,113.52,21.6506375,0.2656,2.2704,2.16506375
310,13.315,113.71,20.732516,0.2663,2.2742,2.0732516
311,13.35,113.9,22.00791,0.267,2.278,2.200791
312,13.385,114.09,21.9665215,0.2677,2.2818,2.19665215
313,13.42,114.28,21.372497,0.2684,2.2856,2.1372497
314,13.455,114.47,21.720869,0.2691,2.2894,2.1720869
315,13.49,114.66,21.63781,0.2698,2.2932,2.163781
316,13.525,114.85,21.9190005,0.2705,2.297,2.19190005
317,13.56,115.04,21.5492145,0.2712,2.3008,2.15492145
318,13.595,115.23,21.3761,0.2719,2.3046,2.13761
319,13.63,115.42,21.7743845,0.2726,2.3084,2.17743845
320,13.665,115.61,21.548621,0.2733,2.3122,2.1548621
321,13.7,115.8,21.6303145,0.274,2.316,2.16303145
322,13.735,115.99,21.7828465,0.2747,2.3198,2.17828465
323,13.77,116.18,21.5680545,0.2754,2.3236,2.15680545
324,13.805,116.37,21.3839365,0.2761,2.3274,2.13839365
325,13.84,116.56,21.386253,0.2768,2.3312,2.1386253
326,13.875,116.75,21.361914,0.2775,2.335,2.1361914
327,13.91,116.94,21.3808155,0.2782,2.3388,2.13808155
328,13.945,117.13,21.7441065,0.2789,2.3426,2.17441065
329,13.98,117.32,21.418046,0.2796,2.3464,2.1418046
330,14.015,117.51,21.6349685,0.2803,2.3502,2.16349685
331,14.05,117.7,18.966685,0.281,2.354,1.8966685
332,14.085,117.89,21.2916015,0.2817,2.3578,2.12916015
333,14.12,118.08,21.5483815,0.2824,2.3616,2.15483815
334,14.155,118.27,21.7377705,0.2831,2.3654,2.17377705
335,14.19,118.46,21.8047295,0.2838,2.3692,2.18047295
336,14.225,118.65,21.4136515,0.2845,2.373,2.14136515
337,14.26,118.84,21.491605,0.2852,2.3768,2.1491605
338,14.295,119.03,21.6313,0.2859,2.3806,2.16313
339,14.33,119.22,21.2729385,0.2866,2.3844,2.12729385
340,14.365,119.41,21.634566,0.2873,2.3882,2.1634566
341,14.4,119.6,21.380112,0.288,2.392,2.1380112
342,14.435,119.79,21.236239,0.2887,2.3958,2.1236239
343,14.47,119.98,21.2933505,0.2894,2.3996,2.12933505
344,14.505,120.17,21.2953065,0.2901,2.4034,2.12953065
345,14.54,120.36,20.9272955,0.2908,2.4072,2.09272955
346,14.575,120.55,21.5561265,0.2915,2.411,2.15561265
347,14.61,120.74,21.5999805,0.2922,2.4148,2.15999805
348,14.645,120.93,21.475966,0.2929,2.4186,2.1475966
349,14.68,121.12,21.0620525,0.2936,2.4224,2.10620525
350,14.715,121.31,21.1905835,0.2943,2.4262,2.11905835
351,14.75,121.5,21.3412455,0.295,2.43,2.13412455
352,14.785,121.69,21.1407025,0.2957,2.4338,2.11407025
353,14.82,121.88,20.687284,0.2964,2.4376,2.0687284
